loc,address,value,geo,levels,type,size
"(-9.680597104316073, -73.78147896776792)","Calle Arturo Prat 630 Piso 61
Aisén, Región de Aysén del General Carlos Ibáñez del Campo",$2842.89 USD,---,4,vivienda,1827.35 mts2
"(-11.839646753418616, -77.20420267040747)","Calle Los Carrera 2268 Of. 144
Talca, Región del Maule, 1024960",$2840.46 USD,---,3,oficinas,1817.93 mts2
"(-9.773873965958487, -76.1123477049911)","María Belmar 107 Piso 11
San Vicente, Región del Libertador General Bernardo O'Higgins",$2333.15 USD,---,7,comercial,1724.54 mts2
"(-10.719718784392073, -75.65639201769073)","Calle Manuel Rodríguez 82
Loncoche, Región de La Araucanía, 2730050",$2971.45 USD,---,10,vivienda,1233.99 mts2
"(-11.703497514880777, -74.11062583146717)","María García 312 Piso 65
Isla de Maipo, Región Metropolitana",$2496.24 USD,---,1,oficinas,754.76 mts2
"(-11.293656366426346, -71.47931891643915)","Francia Díaz 50
Chaitén, Región de Los Lagos, 8153000",$4217.86 USD,---,10,vivienda,1638.50 mts2
"(-9.997111730778085, -78.51592936309692)","Ruta 5 Sur, km 951",$2842.06 USD,---,0,vivienda,1533.27 mts2
"(-10.328096351787847, -72.23837422598646)","Calle José Gálvez 3000
Quellón, Región de Los Lagos, 3207820",$3964.73 USD,---,2,oficinas,1104.78 mts2
"(-11.7418759055013, -75.03499893746587)","Calle Esmeralda 7 Piso 4
Primavera, Región de Magallanes y de la Antártica Chilena, 7483570",$2638.85 USD,---,3,comercial,250.74 mts2
"(-10.716067848428189, -70.64269033353736)","Manuel Rodríguez 225 Dpto. 9344
Puchuncaví, Región de Valparaíso",$4367.01 USD,---,9,comercial,113.84 mts2
"(-11.24668520395586, -76.30957018983499)","Avda. Los Higos 84
Graneros, Región del Libertador General Bernardo O'Higgins",$3540.50 USD,---,2,vivienda,687.04 mts2
"(-10.072358334848655, -71.31997520790203)","Avenida Aurora Valdés 137 Piso 8
Calle Larga, Región de Valparaíso",$3264.16 USD,---,4,vivienda,1010.33 mts2
"(-9.35438864942603, -77.41184525695937)","Calle Juan Mackenna 984 Of. 3624
Cobquecura, Región de Ñuble, 3283040",$4601.66 USD,---,5,comercial,182.64 mts2
"(-8.990840374198626, -76.84999710005337)","Caupolicán 203
Calera, Región de Valparaíso, 1682580",$4437.71 USD,---,3,comercial,1842.60 mts2
"(-12.234512445743253, -76.76742477743655)","Las Mandarinas 12 Piso 12
Colchane, Región de Tarapacá, 8716030",$2849.12 USD,---,5,oficinas,533.29 mts2
"(-10.446484246210373, -73.51115012041811)","Arturo Godoy 34
Lampa, Región Metropolitana, 1575010",$3825.45 USD,---,10,oficinas,880.94 mts2
"(-8.245070935551894, -77.71936450823193)","Psje. Ramón Carnicer 786
Pinto, Región de Ñuble",$4943.86 USD,---,6,oficinas,419.71 mts2
"(-11.25335952180817, -77.48418728347197)","Caupolicán 6640 Of. 282
Calbuco, Región de Los Lagos",$2159.60 USD,---,10,oficinas,963.21 mts2
"(-8.401916428969955, -75.8816393200162)","Avda. Trinidad Bravo 2295
La Granja, Región Metropolitana",$2141.54 USD,---,0,comercial,454.61 mts2
"(-11.042134101546177, -73.15213496444123)","Calle Christian Órdenes 975 Of. 3601
Huara, Región de Tarapacá, 9269150",$2164.57 USD,---,2,vivienda,1960.21 mts2
"(-10.70657352144298, -73.0305594131763)","Lautaro 96 Dpto. 19
Purén, Región de La Araucanía, 4085410",$2385.54 USD,---,8,oficinas,961.74 mts2
"(-10.672781587621582, -74.13907366596429)","Ruta 5 Sur, km 705",$4061.87 USD,---,10,oficinas,460.95 mts2
"(-8.539639975943793, -72.8521845414402)","Av. Eusebio Lillo 132
San Pedro, Región Metropolitana",$2257.67 USD,---,0,vivienda,23.19 mts2
"(-8.803159434623335, -76.81204623680637)","Portales 9187 Piso 66
Santa Juana, Región del Biobío, 3990680",$3443.27 USD,---,4,oficinas,878.44 mts2
"(-12.611370437378143, -76.19058691226876)","Avda. Las Rosas 802
Lautaro, Región de La Araucanía",$3110.92 USD,---,1,oficinas,204.28 mts2
