loc,address,value,geo,levels,type,size
"(-10.59029304369529, -78.13169231610031)","Calle Esmeralda 7851 Of. 688
Renaico, Región de La Araucanía",$4999.69 USD,---,3,vivienda,453.40 mts2
"(-10.870144162161251, -74.66656281021262)","Calle Juan Gutiérrez 4676 Piso 3
Tiltil, Región Metropolitana",$4238.21 USD,---,0,vivienda,1188.66 mts2
"(-11.395010244352285, -68.54067244617205)","Ruta 5 Norte, km 856",$3752.61 USD,---,7,oficinas,320.10 mts2
"(-11.471662793214461, -72.49366622637329)","Calle Jaime Guerra 124
Calera de Tango, Región Metropolitana",$3556.90 USD,---,4,comercial,494.97 mts2
"(-12.831012968206313, -74.31463096720222)","Los Pinos 3 Of. 4672
Ercilla, Región de La Araucanía, 8027540",$2814.45 USD,---,9,vivienda,160.20 mts2
"(-12.757136718941378, -74.62558734114451)","Paz Castro 364
Panguipulli, Región de Los Ríos",$4627.97 USD,---,10,vivienda,598.77 mts2
"(-12.973030868214526, -74.82754361034928)","Antonio Varas 7 Piso 74
Peñalolén, Región Metropolitana, 4433340",$3073.85 USD,---,5,vivienda,507.83 mts2
"(-12.739183609587426, -77.91872620087928)","Avda. Víctor Salgado 87 Piso 8
Quillota, Región de Valparaíso, 9621340",$2205.56 USD,---,7,comercial,1425.62 mts2
"(-11.170938377218775, -77.00259334506612)","Ruta 5 Norte, km 75",$4412.95 USD,---,1,vivienda,36.55 mts2
"(-11.16438621330334, -77.35160127593808)","Paula Jaraquemada 4618
Casablanca, Región de Valparaíso, 2850090",$3861.24 USD,---,9,comercial,1756.65 mts2
"(-11.997422709340174, -77.34433370141387)","Avda. Hugo Araneda 1431 Of. 115
Alto del Carmen, Región de Atacama",$4013.36 USD,---,6,oficinas,1447.86 mts2
"(-10.879001497809618, -77.02292015284684)","Florencia Salazar 3455
San Carlos, Región de Ñuble, 1489890",$2710.30 USD,---,7,comercial,502.81 mts2
